"post_id","cluster","x","y","z"
"2151","21","-14.431373600","7.495217323","-43.263671880"
"2153","19","5.937327862","50.400024410","22.908771510"
"2155","2","21.857738490","28.356830600","-31.355197910"
"2157","41","48.841190340","-27.707118990","1.292636991"
"2159","64","-24.214735030","41.416690830","-2.260674238"
"2161","19","7.044458389","49.723312380","23.118869780"
"2163","57","-32.577594760","-20.848543170","-24.813409810"
"2165","57","-32.424678800","-21.549821850","-24.740774150"
"2167","19","-38.396102910","-13.515963550","-29.665084840"
"2169","87","7.684037209","25.846252440","39.194702150"
"2171","88","-28.272119520","26.690565110","-6.333503246"
"2173","29","-3.337891817","-0.294685543","-7.701735020"
"2175","22","-29.880823140","16.052455900","-17.527740480"
"2177","22","-29.499523160","16.628969190","-22.495441440"
"2179","77","-23.364852910","-6.323645592","-7.138866425"
"2181","18","-5.448835850","25.345760350","24.105150220"
"2183","12","16.894796370","-1.038479090","-8.545485497"
"2185","10","-0.513870120","-30.788202290","35.841506960"
"2187","1","1.197781563","-30.914287570","34.860431670"
"2189","21","-4.048365593","10.066772460","25.954292300"
"2191","51","-6.404872894","11.168611530","25.488887790"
"2193","12","-7.479715824","8.289257050","24.098991390"
"2195","51","-6.971703529","6.934914589","25.827735900"
"2197","1","-20.489833830","-6.931809902","17.254758830"
"2199","88","1.456522584","17.138597490","9.004357338"
"2201","6","-9.062564850","9.612839699","10.889916420"
"2203","79","4.442519188","1.658667326","28.326576230"
"2205","65","-4.999450207","25.052494050","-4.860346317"
"2207","84","-7.087862492","23.760789870","-6.213228226"
"2209","12","-2.165980339","14.490520480","-48.176113130"
"2211","47","19.785053250","36.494201660","-15.166986470"
"2213","12","-1.578152418","15.954229350","-48.341255190"
"2215","5","20.388772960","-20.200788500","-14.700524330"
"2217","5","19.519571300","-20.153242110","-13.310132980"
"2219","82","24.836959840","-17.497377400","-4.868238449"
"2221","44","8.924204826","37.591037750","-2.752911329"
"2223","65","30.037090300","-28.504562380","8.348842621"
"2225","21","-7.232102394","44.206378940","-5.292991161"
"2227","74","33.479980470","-30.961631770","-28.050472260"
"2229","74","32.877002720","-30.550014500","-27.744403840"
