"post_id","name","cluster","x","y","z"
"2151","110 proof","21","-14.431373600","7.495217323","-43.263671880"
"2153","11 Downing Street","19","5.937327862","50.400024410","22.908771510"
"2155","11th commandment","2","21.857738490","28.356830600","-31.355197910"
"2157","12-ounce curls","41","48.841190340","-27.707118990","1.292636991"
"2159","15 minutes of fame","64","-24.214735030","41.416690830","-2.260674238"
"2161","1600 Pennsylvania Avenue","19","7.044458389","49.723312380","23.118869780"
"2163","23 skidoo","57","-32.577594760","-20.848543170","-24.813409810"
"2165","23 Skidoo Street","57","-32.424678800","-21.549821850","-24.740774150"
"2167","3-on-the-tree","19","-38.396102910","-13.515963550","-29.665084840"
"2169","800-pound gorilla","87","7.684037209","25.846252440","39.194702150"
"2171","Abbot's Priory","88","-28.272119520","26.690565110","-6.333503246"
"2173","abound in one's own sense","29","-3.337891817","-0.294685543","-7.701735020"
"2175","about time","22","-29.880823140","16.052455900","-17.527740480"
"2177","about to","22","-29.499523160","16.628969190","-22.495441440"
"2179","about turn","77","-23.364852910","-6.323645592","-7.138866425"
"2181","above the fray","18","-5.448835850","25.345760350","24.105150220"
"2183","above board","12","16.894796370","-1.038479090","-8.545485497"
"2185","above one's bend","10","-0.513870120","-30.788202290","35.841506960"
"2187","above one's huckleberry","1","1.197781563","-30.914287570","34.860431670"
"2189","above par","21","-4.048365593","10.066772460","25.954292300"
"2191","above the curve","51","-6.404872894","11.168611530","25.488887790"
"2193","above the law","12","-7.479715824","8.289257050","24.098991390"
"2195","above the salt","51","-6.971703529","6.934914589","25.827735900"
"2197","above water","1","-20.489833830","-6.931809902","17.254758830"
"2199","a bridge too far","88","1.456522584","17.138597490","9.004357338"
"2201","absence makes the heart grow fonder","6","-9.062564850","9.612839699","10.889916420"
"2203","abuse of distress","79","4.442519188","1.658667326","28.326576230"
"2205","accident of birth","65","-4.999450207","25.052494050","-4.860346317"
"2207","accident waiting to happen","84","-7.087862492","23.760789870","-6.213228226"
"2209","according to Cocker","12","-2.165980339","14.490520480","-48.176113130"
"2211","according to Gunter","47","19.785053250","36.494201660","-15.166986470"
"2213","according to Hoyle","12","-1.578152418","15.954229350","-48.341255190"
"2215","ace in the hole","5","20.388772960","-20.200788500","-14.700524330"
"2217","ace up one's sleeve","5","19.519571300","-20.153242110","-13.310132980"
"2219","acknowledge the corn","82","24.836959840","-17.497377400","-4.868238449"
"2221","a cold day in July","44","8.924204826","37.591037750","-2.752911329"
"2223","acquired taste","65","30.037090300","-28.504562380","8.348842621"
"2225","across the board","21","-7.232102394","44.206378940","-5.292991161"
"2227","activist judge","74","33.479980470","-30.961631770","-28.050472260"
"2229","activist justice","74","32.877002720","-30.550014500","-27.744403840"
"2231","act of Congress","49","-30.997808460","-10.121131900","-41.094776150"
"2233","act one's age","29","-29.070499420","22.474325180","5.645727158"
"2235","act one's age, not one's shoe size","29","-29.661102290","21.848722460","5.411111355"
"2237","act out","30","13.067722320","-7.919412136","16.573230740"
"2239","act up","59","12.275932310","-8.130794525","16.680482860"
"2241","Adam's ale","41","33.186172490","27.305837630","28.932586670"
"2243","Adam Tiler","40","30.861690520","28.658515930","27.448778150"
"2245","a day late and a dollar short","79","-35.666481020","8.998502731","-5.789915085"
"2247","add fuel to the fire","28","-10.411296840","-10.904407500","32.017383580"
"2249","add insult to injury","28","12.140744210","-26.918186190","28.265174870"
"2251","addle pate","14","-9.064744949","46.374824520","28.969413760"
"2253","addle plot","10","-8.633628845","46.427753450","28.239694600"
"2255","add oil","59","-34.137973790","-16.185319900","5.872404099"
"2257","add up","89","3.880860329","-6.968633652","-45.635826110"
"2259","adorn oneself with borrowed plumes","61","23.018098830","-2.104501963","3.666455030"
"2261","adrenaline rush","52","-13.823234560","5.855835438","35.652027130"
"2263","after the fact","38","-19.719694140","17.594535830","-22.393928530"
"2265","after all","47","-18.431177140","18.756727220","-22.477359770"
"2267","after one's own heart","6","8.158572197","7.859523773","-3.476239443"
"2269","after the Lord Mayor's show","64","-20.667800900","18.830343250","-21.485990520"
"2271","against all odds","44","5.514762402","37.874195100","-8.888589859"
"2273","against the clock","24","-38.917419430","10.765292170","-13.425668720"
"2275","against the collar","49","-13.213958740","6.860459328","28.193655010"
"2277","against the grain","77","-5.852109432","-12.982874870","1.417708635"
"2279","against the run of play","44","-38.930179600","-24.779277800","-8.928998947"
"2281","against the world","37","-5.343559265","-11.373460770","2.727548361"
"2283","age before beauty","64","-30.713903430","19.386417390","2.201586485"
"2285","a good deal","73","26.178724290","9.912568092","-19.315492630"
"2287","agreement in principle","12","11.808836940","12.999168400","-31.631391530"
"2289","agree to disagree","69","10.657968520","11.601762770","-32.107833860"
"2291","aha moment","43","-22.863224030","43.288467410","-8.337224007"
"2293","ahead of one's time","51","-28.364778520","13.416225430","-1.475258827"
"2295","ahead of the curve","51","-28.237737660","11.958972930","-1.347996235"
"2297","ahead of the game","51","-27.120012280","11.128440860","-2.198395967"
"2299","ahead of the pack","51","-26.860515590","10.998969080","-0.823573709"
"2301","a hundred and ten percent","21","-13.724141120","7.367385387","-41.943908690"
"2303","ain't what it used to was","64","-25.957813260","24.249557500","-3.331769466"
