x,y,z
-1.443137359619140625e+01,7.495217323303222656e+00,-4.326367187500000000e+01
5.937327861785888672e+00,5.040002441406250000e+01,2.290877151489257812e+01
2.185773849487304688e+01,2.835683059692382812e+01,-3.135519790649414062e+01
4.884119033813476562e+01,-2.770711898803710938e+01,1.292636990547180176e+00
-2.421473503112792969e+01,4.141669082641601562e+01,-2.260674238204956055e+00
7.044458389282226562e+00,4.972331237792968750e+01,2.311886978149414062e+01
-3.257759475708007812e+01,-2.084854316711425781e+01,-2.481340980529785156e+01
-3.242467880249023438e+01,-2.154982185363769531e+01,-2.474077415466308594e+01
-3.839610290527343750e+01,-1.351596355438232422e+01,-2.966508483886718750e+01
7.684037208557128906e+00,2.584625244140625000e+01,3.919470214843750000e+01
-2.827211952209472656e+01,2.669056510925292969e+01,-6.333503246307373047e+00
-3.337891817092895508e+00,-2.946855425834655762e-01,-7.701735019683837891e+00
-2.988082313537597656e+01,1.605245590209960938e+01,-1.752774047851562500e+01
-2.949952316284179688e+01,1.662896919250488281e+01,-2.249544143676757812e+01
-2.336485290527343750e+01,-6.323645591735839844e+00,-7.138866424560546875e+00
-5.448835849761962891e+00,2.534576034545898438e+01,2.410515022277832031e+01
1.689479637145996094e+01,-1.038479089736938477e+00,-8.545485496520996094e+00
-5.138701200485229492e-01,-3.078820228576660156e+01,3.584150695800781250e+01
1.197781562805175781e+00,-3.091428756713867188e+01,3.486043167114257812e+01
-4.048365592956542969e+00,1.006677246093750000e+01,2.595429229736328125e+01
-6.404872894287109375e+00,1.116861152648925781e+01,2.548888778686523438e+01
-7.479715824127197266e+00,8.289257049560546875e+00,2.409899139404296875e+01
-6.971703529357910156e+00,6.934914588928222656e+00,2.582773590087890625e+01
-2.048983383178710938e+01,-6.931809902191162109e+00,1.725475883483886719e+01
1.456522583961486816e+00,1.713859748840332031e+01,9.004357337951660156e+00
-9.062564849853515625e+00,9.612839698791503906e+00,1.088991641998291016e+01
4.442519187927246094e+00,1.658667325973510742e+00,2.832657623291015625e+01
-4.999450206756591797e+00,2.505249404907226562e+01,-4.860346317291259766e+00
-7.087862491607666016e+00,2.376078987121582031e+01,-6.213228225708007812e+00
-2.165980339050292969e+00,1.449052047729492188e+01,-4.817611312866210938e+01
1.978505325317382812e+01,3.649420166015625000e+01,-1.516698646545410156e+01
-1.578152418136596680e+00,1.595422935485839844e+01,-4.834125518798828125e+01
2.038877296447753906e+01,-2.020078849792480469e+01,-1.470052433013916016e+01
1.951957130432128906e+01,-2.015324211120605469e+01,-1.331013298034667969e+01
2.483695983886718750e+01,-1.749737739562988281e+01,-4.868238449096679688e+00
8.924204826354980469e+00,3.759103775024414062e+01,-2.752911329269409180e+00
3.003709030151367188e+01,-2.850456237792968750e+01,8.348842620849609375e+00
-7.232102394104003906e+00,4.420637893676757812e+01,-5.292991161346435547e+00
3.347998046875000000e+01,-3.096163177490234375e+01,-2.805047225952148438e+01
3.287700271606445312e+01,-3.055001449584960938e+01,-2.774440383911132812e+01
-3.099780845642089844e+01,-1.012113189697265625e+01,-4.109477615356445312e+01
-2.907049942016601562e+01,2.247432518005371094e+01,5.645727157592773438e+00
-2.966110229492187500e+01,2.184872245788574219e+01,5.411111354827880859e+00
1.306772232055664062e+01,-7.919412136077880859e+00,1.657323074340820312e+01
1.227593231201171875e+01,-8.130794525146484375e+00,1.668048286437988281e+01
3.318617248535156250e+01,2.730583763122558594e+01,2.893258666992187500e+01
3.086169052124023438e+01,2.865851593017578125e+01,2.744877815246582031e+01
-3.566648101806640625e+01,8.998502731323242188e+00,-5.789915084838867188e+00
-1.041129684448242188e+01,-1.090440750122070312e+01,3.201738357543945312e+01
1.214074420928955078e+01,-2.691818618774414062e+01,2.826517486572265625e+01
-9.064744949340820312e+00,4.637482452392578125e+01,2.896941375732421875e+01
-8.633628845214843750e+00,4.642775344848632812e+01,2.823969459533691406e+01
-3.413797378540039062e+01,-1.618531990051269531e+01,5.872404098510742188e+00
3.880860328674316406e+00,-6.968633651733398438e+00,-4.563582611083984375e+01
2.301809883117675781e+01,-2.104501962661743164e+00,3.666455030441284180e+00
-1.382323455810546875e+01,5.855835437774658203e+00,3.565202713012695312e+01
-1.971969413757324219e+01,1.759453582763671875e+01,-2.239392852783203125e+01
-1.843117713928222656e+01,1.875672721862792969e+01,-2.247735977172851562e+01
8.158572196960449219e+00,7.859523773193359375e+00,-3.476239442825317383e+00
